,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
L11,0.014212889486147847,0.011133676612350929,-0.054185778565854915,-0.013052862891387431,-0.005084441098714066,0.015994188827743165,-0.05850633235110602,-0.06297555939530879,0.037541060127688076,-0.07701337446072336,,-0.12423857728042001,0.1652733056939573,0.013530607802259353,-0.044120361374713785,0.010246717305806612,-0.04552017621011981,0.008200739718172161,0.10154725443230714,-0.00246300289096901,-0.015081499186109112
L12,0.01746202446630599,0.01391054359900172,0.016891977349669362,0.040533322385649634,0.056160944523958214,0.012897772775263234,-0.09806096338186172,0.05959961212011611,-0.11052685696714926,0.015268132768370985,-0.12423857728042001,,-0.05958813014684653,0.04753027382604657,4.2298783975025164e-05,0.0030032907352555375,0.0003556245733693816,0.3647358927283458,0.0010797687481978843,-0.002733985025780359,-0.025461627408775788
L13,0.006751226612641473,0.005855855795174611,-0.007589743209936246,-0.06380497481679195,-0.07014591111969173,-0.031081773290315876,0.005575396792260181,-0.029103490241063436,0.0016175695516012435,0.006775837181748319,0.16527330569395732,-0.05958813014684653,,-0.1059693546685568,0.1505368782041276,-0.008869268071937227,0.08194040266080348,-0.07801102436498535,-0.0331412503328948,-0.06563016808313311,0.03711077436971808
L14,0.004082464817245691,0.004020420149756164,-0.01598412971478045,0.004213609661314054,-0.02997532594758407,0.04566946450435864,-0.022414006655359194,-0.043851159316286845,-0.0667521230634282,-0.02288621596307711,0.013530607802259353,0.04753027382604656,-0.1059693546685568,,-0.046793635404469486,0.09296188034708716,-0.11998299229019915,-0.15366906994265056,-0.017147856151965287,-0.03878032975255386,0.07762537392183876
L15,0.0017383424573939672,0.0020607651709010763,-0.04072034764044848,0.0012849322987720179,-0.0440098081461989,-0.01188418301586176,-0.08993115748000542,0.06434740894685004,0.010062745740061486,-0.05206135671565639,-0.044120361374713785,4.229878397502603e-05,0.15053687820412762,-0.046793635404469486,,-0.09304560254265357,0.16785612844809963,-0.03210534508697887,-0.02571618056891514,-0.08386146354617238,0.1020083039665662
L16,0.002205653869515445,0.0026691118816368374,-0.037279221346976144,0.0018421464026611937,0.034207279742198435,0.06815152926859952,0.00969001457774005,-0.004858071581337504,-0.04851125004444732,-0.08242064662090076,0.010246717305806612,0.0030032907352555375,-0.008869268071937223,0.09296188034708716,-0.09304560254265357,,-0.21447478414735272,-0.2904141265824722,-0.021581580949622148,0.297949209948375,-0.10106117960173647
L17,-0.00021254141629337402,0.0007279144353118717,0.03657864455000163,-0.0011539543939497994,0.0021648308509172693,-0.03320237373108449,0.09341215785574908,-0.037665130542512415,0.025607208150899532,0.02323756220641894,-0.04552017621011982,0.0003556245733693812,0.08194040266080348,-0.11998299229019915,0.16785612844809963,-0.21447478414735272,,0.07536537833899805,0.12247583310483749,-0.16750620112423675,0.04072454964117634
L18,0.00041459408885394016,0.001344528555923139,0.01485280064941149,-0.0003203004651935225,-0.0008110166323614621,-0.06427500471014727,0.007082865421897417,0.13814190125387768,0.012134787942535679,0.11493799786939439,0.008200739718172163,0.3647358927283457,-0.07801102436498535,-0.15366906994265053,-0.03210534508697887,-0.2904141265824722,0.07536537833899806,,0.04042728191457976,-0.029030771900398836,-0.07679155081857159
L19,0.00018247604584844873,0.0011782597685534423,0.0009074191563108085,-0.0005971196718653092,-0.0014976091190733115,-0.003306227747980571,0.0545557695056203,-0.051642124804576445,0.08219597737785701,0.0033422296054359418,0.10154725443230712,0.0010797687481978843,-0.0331412503328948,-0.01714785615196529,-0.02571618056891514,-0.021581580949622148,0.1224758331048375,0.04042728191457976,,-0.07907260505956823,-0.21261189016485446
L20,-0.001792053434725164,-0.0002780966710397093,-0.0007455674619939699,-0.0029773925396736614,-0.004346658407091892,-0.0075877128347439276,-0.0017546789046426672,0.08320987133124717,0.004986908917948019,0.11068851523051376,-0.00246300289096901,-0.002733985025780359,-0.06563016808313311,-0.03878032975255386,-0.08386146354617238,0.297949209948375,-0.16750620112423675,-0.029030771900398836,-0.07907260505956823,,-0.24810840832752556
