participant_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
676888,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677016,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677023,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677087,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677120,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677134,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
677135,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677143,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677145,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677150,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
677156,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677158,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677160,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677172,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677173,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677182,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677206,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677257,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
677271,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677273,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677276,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677363,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677372,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677378,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677382,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
677385,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
677393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
677421,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
677432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
677467,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
677582,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
677642,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677644,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677650,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
677657,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
677660,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
