,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
687420,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687489,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
687505,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687599,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687702,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687720,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
687745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
687792,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
687811,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
687820,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687838,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687856,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687862,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
687872,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687876,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687882,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687925,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687983,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687989,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687991,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687995,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
687996,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688014,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
688015,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688021,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688027,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688053,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688061,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688070,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688085,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688091,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
688097,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
688103,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688106,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688123,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
688127,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
688145,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688164,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
688177,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688178,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688188,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688193,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688200,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688206,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688229,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688230,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
688236,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688265,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688276,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688280,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
