theta_true,trial,seed,est,error,abs_error,rmse_contrib,se
-2.5,23,15229585,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,24,1800089671,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,25,1386675063,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,26,544083117,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,27,1545993628,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,28,886956485,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,29,1794371228,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,30,2143709453,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,31,605328024,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,32,1009388424,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,33,462177494,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,34,1487220832,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,35,1372953683,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,36,1813665612,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,37,1728842088,-2.662332950248795,-0.1623329502487949,0.1623329502487949,0.026351986736477723,0.06916275290430404
-2.5,38,2097930220,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,39,2069467440,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,40,1921790505,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,41,323249611,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,42,90638391,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,43,1035543218,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
-2.5,44,740899031,-2.4072895002266526,0.09271049977334744,0.09271049977334744,0.008595236768223857,0.12363193170457981
