,AccountId,Score,Percentage
356,477235,4,19.04761905
357,477642,5,23.80952381
358,478175,8,38.0952381
359,479853,6,28.57142857
360,480505,21,100.0
361,480543,5,23.80952381
362,480705,21,100.0
363,481071,9,42.85714286
364,481266,6,28.57142857
365,481895,21,100.0
368,481898,20,95.23809524
370,483241,7,33.33333333
371,485450,8,38.0952381
372,486225,21,100.0
373,487819,5,23.80952381
374,487894,9,42.85714286
375,487972,16,76.19047619
376,488116,10,47.61904762
377,488558,6,28.57142857
378,488577,11,52.38095238
379,489274,6,28.57142857
380,490573,5,23.80952381
381,490972,6,28.57142857
382,491051,7,33.33333333
383,491370,6,28.57142857
384,492237,21,100.0
385,492428,12,57.14285714
386,492915,21,100.0
387,493068,6,28.57142857
388,493503,21,100.0
389,494007,6,28.57142857
390,494308,7,33.33333333
391,495258,6,28.57142857
393,495420,5,23.80952381
394,496007,8,38.0952381
395,496081,2,9.523809524
396,496574,6,28.57142857
397,496849,5,23.80952381
398,496959,6,28.57142857
400,497182,21,100.0
401,497246,18,85.71428571
402,497496,6,28.57142857
403,497651,11,52.38095238
404,497890,6,28.57142857
405,498339,7,33.33333333
406,498559,21,100.0
407,499574,9,42.85714286
408,499918,9,42.85714286
409,500708,7,33.33333333
410,500850,6,28.57142857
411,501732,21,100.0
412,502155,21,100.0
413,502325,21,100.0
414,502541,21,100.0
415,502629,21,100.0
416,503618,6,28.57142857
417,503761,6,28.57142857
418,504853,6,28.57142857
420,506647,8,38.0952381
421,509489,5,23.80952381
422,510143,10,47.61904762
424,510328,17,80.95238095
425,510342,5,23.80952381
433,510575,9,42.85714286
434,511043,6,28.57142857
435,512568,21,100.0
436,512876,9,42.85714286
437,513722,8,38.0952381
438,514113,11,52.38095238
439,514684,10,47.61904762
440,516147,9,42.85714286
441,516511,5,23.80952381
442,516518,6,28.57142857
443,517358,6,28.57142857
444,517398,8,38.0952381
445,517433,8,38.0952381
446,517761,5,23.80952381
447,518333,6,28.57142857
448,518344,6,28.57142857
449,519157,8,38.0952381
450,519253,15,71.42857143
451,519342,6,28.57142857
452,520956,5,23.80952381
453,521399,8,38.0952381
454,521546,7,33.33333333
455,522019,5,23.80952381
456,522838,7,33.33333333
457,523584,6,28.57142857
458,523662,7,33.33333333
459,523866,8,38.0952381
460,524126,7,33.33333333
461,524138,5,23.80952381
462,524895,5,23.80952381
463,525797,9,42.85714286
464,526620,19,90.47619048
465,527036,21,100.0
466,527517,21,100.0
467,527731,7,33.33333333
468,527799,7,33.33333333
469,528724,6,28.57142857
470,528745,10,47.61904762
471,530250,12,57.14285714
472,530503,21,100.0
473,531028,8,38.0952381
474,531303,3,14.28571429
475,531902,8,38.0952381
476,532502,21,100.0
477,532790,6,28.57142857
478,532814,21,100.0
479,532953,10,47.61904762
480,533688,7,33.33333333
481,534108,14,66.66666667
482,534295,8,38.0952381
483,534347,6,28.57142857
484,535009,8,38.0952381
485,535436,6,28.57142857
486,535993,8,38.0952381
487,536779,5,23.80952381
488,537043,5,23.80952381
489,537087,7,33.33333333
490,537347,9,42.85714286
491,537490,15,71.42857143
492,537908,6,28.57142857
493,539152,14,66.66666667
494,539295,0,0.0
495,539572,6,28.57142857
496,539892,17,80.95238095
497,541201,8,38.0952381
498,541483,6,28.57142857
499,541490,21,100.0
500,541612,8,38.0952381
501,541635,6,28.57142857
502,541833,21,100.0
503,541872,6,28.57142857
504,542132,6,28.57142857
505,542222,8,38.0952381
506,542252,7,33.33333333
507,542395,8,38.0952381
508,542952,15,71.42857143
509,542992,6,28.57142857
510,543719,11,52.38095238
511,544129,3,14.28571429
512,544215,6,28.57142857
513,544710,9,42.85714286
514,544729,21,100.0
515,545183,8,38.0952381
516,545422,7,33.33333333
517,545741,7,33.33333333
518,546244,6,28.57142857
519,547684,9,42.85714286
520,547697,8,38.0952381
521,548150,21,100.0
522,548380,8,38.0952381
523,548417,21,100.0
524,548931,5,23.80952381
525,549855,5,23.80952381
526,549886,8,38.0952381
527,549914,19,90.47619048
528,550127,21,100.0
529,550352,6,28.57142857
530,550843,7,33.33333333
531,550998,9,42.85714286
532,551775,4,19.04761905
536,551883,20,95.23809524
537,551960,8,38.0952381
538,552444,21,100.0
539,552858,21,100.0
540,553363,19,90.47619048
541,553564,7,33.33333333
543,553772,9,42.85714286
544,554268,6,28.57142857
545,554274,7,33.33333333
546,555069,7,33.33333333
547,555554,9,42.85714286
548,555733,16,76.19047619
549,555949,6,28.57142857
550,556150,7,33.33333333
552,556274,8,38.0952381
553,556365,21,100.0
554,556722,7,33.33333333
555,556786,10,47.61904762
556,558147,6,28.57142857
557,558305,9,42.85714286
558,558926,21,100.0
559,558936,9,42.85714286
560,559753,5,23.80952381
561,559811,11,52.38095238
562,560375,6,28.57142857
563,560777,5,23.80952381
564,561612,8,38.0952381
565,561636,6,28.57142857
566,561689,21,100.0
567,561768,7,33.33333333
568,561806,8,38.0952381
569,561979,10,47.61904762
570,562043,21,100.0
571,562187,10,47.61904762
