,AccountId,Score,Percentage
121,680975,10,47.61904761904761
122,681385,5,23.809523809523807
123,681425,10,47.61904761904761
124,681538,6,28.57142857142857
125,681853,6,28.57142857142857
126,683015,7,33.33333333333333
127,683591,10,47.61904761904761
128,684040,6,28.57142857142857
129,684473,7,33.33333333333333
130,684906,9,42.857142857142854
131,685092,9,42.857142857142854
132,685111,8,38.095238095238095
133,685146,6,28.57142857142857
134,685406,5,23.809523809523807
135,685900,6,28.57142857142857
136,686012,5,23.809523809523807
137,686013,7,33.33333333333333
138,686040,10,47.61904761904761
139,686073,6,28.57142857142857
140,686082,10,47.61904761904761
141,686146,7,33.33333333333333
142,686189,6,28.57142857142857
143,686317,11,52.38095238095239
144,686356,8,38.095238095238095
145,686388,8,38.095238095238095
146,686392,16,76.19047619047619
147,686396,8,38.095238095238095
148,686407,8,38.095238095238095
149,686417,21,100.0
150,686447,17,80.95238095238095
151,686486,6,28.57142857142857
152,686514,6,28.57142857142857
153,686588,21,100.0
154,686597,13,61.904761904761905
155,686601,7,33.33333333333333
156,686627,7,33.33333333333333
157,686683,8,38.095238095238095
158,686750,9,42.857142857142854
159,686757,8,38.095238095238095
160,686775,9,42.857142857142854
161,686781,16,76.19047619047619
162,686829,9,42.857142857142854
163,686866,6,28.57142857142857
165,686882,13,61.904761904761905
166,686924,7,33.33333333333333
167,686955,10,47.61904761904761
168,686977,9,42.857142857142854
169,687068,10,47.61904761904761
170,687207,10,47.61904761904761
171,687374,9,42.857142857142854
172,687390,15,71.42857142857143
173,687420,6,28.57142857142857
174,687489,8,38.095238095238095
175,687505,5,23.809523809523807
176,687599,5,23.809523809523807
177,687702,6,28.57142857142857
179,687720,10,47.61904761904761
180,687745,16,76.19047619047619
181,687792,21,100.0
182,687811,21,100.0
183,687820,6,28.57142857142857
184,687838,5,23.809523809523807
185,687856,5,23.809523809523807
186,687862,10,47.61904761904761
187,687872,6,28.57142857142857
188,687876,5,23.809523809523807
189,687882,6,28.57142857142857
190,687925,6,28.57142857142857
191,687983,5,23.809523809523807
192,687989,5,23.809523809523807
193,687991,6,28.57142857142857
194,687995,10,47.61904761904761
195,687996,5,23.809523809523807
197,687999,5,23.809523809523807
198,688014,21,100.0
200,688015,6,28.57142857142857
202,688021,6,28.57142857142857
203,688027,7,33.33333333333333
204,688053,6,28.57142857142857
205,688061,6,28.57142857142857
206,688070,5,23.809523809523807
207,688085,8,38.095238095238095
208,688091,9,42.857142857142854
209,688097,20,95.23809523809523
210,688103,6,28.57142857142857
211,688106,6,28.57142857142857
212,688123,21,100.0
213,688127,12,57.14285714285714
214,688145,4,19.047619047619047
215,688164,12,57.14285714285714
216,688177,5,23.809523809523807
217,688178,7,33.33333333333333
220,688188,5,23.809523809523807
221,688193,7,33.33333333333333
223,688200,5,23.809523809523807
224,688206,6,28.57142857142857
225,688229,7,33.33333333333333
226,688230,12,57.14285714285714
227,688236,6,28.57142857142857
228,688265,8,38.095238095238095
229,688276,5,23.809523809523807
230,688280,5,23.809523809523807
231,688281,21,100.0
232,688286,6,28.57142857142857
233,688287,5,23.809523809523807
234,688294,12,57.14285714285714
235,688295,3,14.285714285714285
236,688300,3,14.285714285714285
237,688306,13,61.904761904761905
238,688310,5,23.809523809523807
239,688324,10,47.61904761904761
240,688333,6,28.57142857142857
241,688362,3,14.285714285714285
242,688413,12,57.14285714285714
243,688415,6,28.57142857142857
244,688418,5,23.809523809523807
245,688433,5,23.809523809523807
246,688437,7,33.33333333333333
247,688447,5,23.809523809523807
248,688474,8,38.095238095238095
250,688476,9,42.857142857142854
251,688483,8,38.095238095238095
252,688489,6,28.57142857142857
253,688492,8,38.095238095238095
254,688517,4,19.047619047619047
255,688521,6,28.57142857142857
256,688525,12,57.14285714285714
257,688536,7,33.33333333333333
258,688538,6,28.57142857142857
259,688539,14,66.66666666666666
260,688542,9,42.857142857142854
261,688544,6,28.57142857142857
262,688560,11,52.38095238095239
263,688567,6,28.57142857142857
264,688569,6,28.57142857142857
265,688572,8,38.095238095238095
266,688578,10,47.61904761904761
267,688588,11,52.38095238095239
268,688606,21,100.0
269,688616,6,28.57142857142857
270,688627,5,23.809523809523807
271,688687,3,14.285714285714285
272,688702,6,28.57142857142857
273,688712,5,23.809523809523807
274,688729,6,28.57142857142857
275,688750,8,38.095238095238095
276,688767,6,28.57142857142857
277,688818,6,28.57142857142857
278,688825,13,61.904761904761905
280,688831,5,23.809523809523807
282,688834,7,33.33333333333333
283,688838,6,28.57142857142857
284,688845,21,100.0
285,688855,16,76.19047619047619
286,688866,6,28.57142857142857
287,688881,11,52.38095238095239
288,688891,5,23.809523809523807
289,688906,8,38.095238095238095
290,688920,9,42.857142857142854
291,688933,6,28.57142857142857
292,689017,8,38.095238095238095
293,689030,8,38.095238095238095
295,689049,4,19.047619047619047
296,689064,12,57.14285714285714
297,689068,6,28.57142857142857
298,689070,6,28.57142857142857
299,689074,6,28.57142857142857
303,689084,6,28.57142857142857
305,689089,7,33.33333333333333
306,689091,8,38.095238095238095
307,689092,5,23.809523809523807
308,689109,9,42.857142857142854
309,689123,6,28.57142857142857
310,689128,9,42.857142857142854
311,689144,10,47.61904761904761
312,689147,6,28.57142857142857
313,689155,9,42.857142857142854
314,689168,6,28.57142857142857
315,689186,6,28.57142857142857
316,689190,6,28.57142857142857
317,689207,7,33.33333333333333
