AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AnswerTypeId,TotalResponses,CorrectResponses,ReactionTime,BonusAwards,Level,FailedLevels
694127,5,150,4,400,26.66666667,0,2025-10-12 21:47:20,3,,,4.312333333,,,
694127,5,150,4,400,26.66666667,0,2025-10-12 21:47:20,4,,,,0,4,"5:1:4,5:2:3,5:3:5,6:1:1,6:2:5,6:3:1"
694127,5,150,4,400,26.66666667,0,2025-10-12 21:47:20,6,,,,0,,
694125,5,150,9,900,60,0,2025-10-12 21:34:24,2,15,9,,,,
694125,5,150,9,900,60,0,2025-10-12 21:34:24,3,,,4.04875,,,
694125,5,150,9,900,60,0,2025-10-12 21:34:24,4,,,,0,9,"10:1:8,10:2:4,10:3:0,11:1:1,11:2:4,11:3:1"
694125,5,150,9,900,60,0,2025-10-12 21:34:24,6,,,,0,,
694005,5,150,14,1400,93.33333333,0,2025-10-12 10:29:58,2,19,14,,,,
694005,5,150,14,1400,93.33333333,0,2025-10-12 10:29:58,3,,,4.308307692,,,
694005,5,150,14,1400,93.33333333,0,2025-10-12 10:29:58,4,,,,3,14,"11:1:6,11:2:11,15:1:3,15:2:13,15:3:4"
694005,5,150,14,1400,93.33333333,0,2025-10-12 10:29:58,6,,,,0,,
456167,5,150,8,800,53.33333333,0,2025-10-12 02:03:51,2,15,8,,,,
456167,5,150,8,800,53.33333333,0,2025-10-12 02:03:51,3,,,2.904857143,,,
456167,5,150,8,800,53.33333333,0,2025-10-12 02:03:51,4,,,,0,8,"7:1:6,9:1:8,9:2:9,9:3:5,10:1:8,10:2:5,10:3:10"
456167,5,150,8,800,53.33333333,0,2025-10-12 02:03:51,6,,,,0,,
693925,5,150,15,1400,100,0,2025-10-11 23:24:40,2,29,14,,,,
693925,5,150,15,1400,100,0,2025-10-11 23:24:40,3,,,11.09738462,,,
693925,5,150,15,1400,100,0,2025-10-11 23:24:40,4,,,,2,15,"4:1:3,4:2:2,6:1:4,6:2:6,7:1:7,7:2:7,7:3:7,8:1:5,8:2:1,9:1:3,12:1:0,12:2:3,14:1:14,14:2:0,15:1:6"
693925,5,150,15,1400,100,0,2025-10-11 23:24:40,6,,,,0,,
691344,5,150,7,700,46.66666667,0,2025-10-11 10:34:17,2,13,7,,,,
691344,5,150,7,700,46.66666667,0,2025-10-11 10:34:17,3,,,2.360333333,,,
691344,5,150,7,700,46.66666667,0,2025-10-11 10:34:17,4,,,,0,7,"8:1:8,8:2:6,8:3:8,9:1:2,9:2:2,9:3:5"
691344,5,150,7,700,46.66666667,0,2025-10-11 10:34:17,6,,,,0,,
693759,5,150,8,800,53.33333333,0,2025-10-11 07:45:21,2,16,8,,,,
693759,5,150,8,800,53.33333333,0,2025-10-11 07:45:21,3,,,4.817142857,,,
693759,5,150,8,800,53.33333333,0,2025-10-11 07:45:21,4,,,,0,8,"8:1:4,8:2:7,9:1:3,9:2:3,9:3:7,10:1:9,10:2:1,10:3:1"
693759,5,150,8,800,53.33333333,0,2025-10-11 07:45:21,6,,,,0,,
693768,5,150,9,800,60,0,2025-10-11 03:37:27,2,19,8,,,,
693768,5,150,9,800,60,0,2025-10-11 03:37:27,3,,,6.365,,,
693768,5,150,9,800,60,0,2025-10-11 03:37:27,4,,,,0,9,"8:1:8,8:2:7,8:3:7,9:1:5,9:2:7,10:1:7,10:2:4,10:3:1,11:1:2,11:2:11,11:3:2"
693768,5,150,9,800,60,0,2025-10-11 03:37:27,6,,,,0,,
693765,5,150,15,1300,100,0,2025-10-11 02:00:49,2,19,13,,,,
693765,5,150,15,1300,100,0,2025-10-11 02:00:49,3,,,8.829833333,,,
693765,5,150,15,1300,100,0,2025-10-11 02:00:49,4,,,,3,15,"10:1:6,10:2:6,10:3:9,14:1:0,14:2:9,14:3:0"
693765,5,150,15,1300,100,0,2025-10-11 02:00:49,6,,,,0,,
693694,5,150,8,800,53.33333333,0,2025-10-10 18:32:30,2,14,8,,,,
693694,5,150,8,800,53.33333333,0,2025-10-10 18:32:30,3,,,3.225714286,,,
693694,5,150,8,800,53.33333333,0,2025-10-10 18:32:30,4,,,,0,8,"9:1:3,9:2:6,9:3:3,10:1:1,10:2:4,10:3:0"
693694,5,150,8,800,53.33333333,0,2025-10-10 18:32:30,6,,,,0,,
692174,5,150,8,700,53.33333333,0,2025-10-10 15:45:26,2,17,7,,,,
692174,5,150,8,700,53.33333333,0,2025-10-10 15:45:26,3,,,3.546666667,,,
692174,5,150,8,700,53.33333333,0,2025-10-10 15:45:26,4,,,,0,8,"7:1:7,7:2:3,7:3:5,8:1:1,9:1:9,9:2:6,9:3:4,10:1:1,10:2:8,10:3:2"
692174,5,150,8,700,53.33333333,0,2025-10-10 15:45:26,6,,,,0,,
693318,5,150,15,1500,100,0,2025-10-10 15:33:04,2,19,15,,,,
693318,5,150,15,1500,100,0,2025-10-10 15:33:04,3,,,29.2185,,,
693318,5,150,15,1500,100,0,2025-10-10 15:33:04,4,,,,3,15,"8:1:8,8:2:1,9:1:0,10:1:1"
693318,5,150,15,1500,100,0,2025-10-10 15:33:04,6,,,,0,,
693637,5,150,15,1500,100,0,2025-10-10 15:31:38,2,17,15,,,,
693637,5,150,15,1500,100,0,2025-10-10 15:31:38,3,,,8.323214286,,,
693637,5,150,15,1500,100,0,2025-10-10 15:31:38,4,,,,3,15,"13:1:0,13:2:2"
693637,5,150,15,1500,100,0,2025-10-10 15:31:38,6,,,,0,,
693622,5,150,8,800,53.33333333,0,2025-10-10 13:18:57,2,14,8,,,,
693622,5,150,8,800,53.33333333,0,2025-10-10 13:18:57,3,,,2.535833333,,,
693622,5,150,8,800,53.33333333,0,2025-10-10 13:18:57,4,,,,0,8,"9:1:7,9:2:6,9:3:9,10:1:8,10:2:9,10:3:7"
693622,5,150,8,800,53.33333333,0,2025-10-10 13:18:57,6,,,,0,,
693487,5,150,7,700,46.66666667,0,2025-10-10 08:24:26,2,14,7,,,,
693487,5,150,7,700,46.66666667,0,2025-10-10 08:24:26,3,,,3.5771,,,
693487,5,150,7,700,46.66666667,0,2025-10-10 08:24:26,4,,,,0,7,"4:1:3,8:1:6,8:2:6,8:3:6,9:1:0,9:2:2,9:3:3"
693487,5,150,7,700,46.66666667,0,2025-10-10 08:24:26,6,,,,0,,
691626,5,150,9,900,60,0,2025-10-10 08:16:46,2,17,9,,,,
691626,5,150,9,900,60,0,2025-10-10 08:16:46,3,,,7.46275,,,
691626,5,150,9,900,60,0,2025-10-10 08:16:46,4,,,,0,9,"8:1:1,8:2:4,10:1:2,10:2:5,10:3:5,11:1:7,11:2:8,11:3:5"
691626,5,150,9,900,60,0,2025-10-10 08:16:46,6,,,,0,,
689866,5,150,8,700,53.33333333,0,2025-10-10 08:02:33,2,16,7,,,,
689866,5,150,8,700,53.33333333,0,2025-10-10 08:02:33,3,,,4.022,,,
689866,5,150,8,700,53.33333333,0,2025-10-10 08:02:33,4,,,,0,8,"6:1:4,6:2:6,6:3:4,9:1:8,9:2:5,9:3:7,10:1:4,10:2:10,10:3:4"
689866,5,150,8,700,53.33333333,0,2025-10-10 08:02:33,6,,,,0,,
693437,5,150,7,700,46.66666667,0,2025-10-10 00:50:55,2,13,7,,,,
693437,5,150,7,700,46.66666667,0,2025-10-10 00:50:55,3,,,3.203875,,,
693437,5,150,7,700,46.66666667,0,2025-10-10 00:50:55,4,,,,0,7,"8:1:4,8:2:5,8:3:3,9:1:6,9:2:6,9:3:3"
693437,5,150,7,700,46.66666667,0,2025-10-10 00:50:55,6,,,,0,,
691073,5,150,9,800,60,0,2025-10-09 18:08:54,2,18,8,,,,
691073,5,150,9,800,60,0,2025-10-09 18:08:54,3,,,5.630285714,,,
691073,5,150,9,800,60,0,2025-10-09 18:08:54,4,,,,0,9,"8:1:6,8:2:5,8:3:8,9:1:6,10:1:4,10:2:7,10:3:8,11:1:7,11:2:9,11:3:1"
691073,5,150,9,800,60,0,2025-10-09 18:08:54,6,,,,0,,
693061,5,150,7,700,46.66666667,0,2025-10-09 15:42:03,2,13,7,,,,
693061,5,150,7,700,46.66666667,0,2025-10-09 15:42:03,3,,,3.140611111,,,
