,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
L11,0.01023668927739463,0.007157476403597712,-0.05816197877460813,-0.017029063100140646,-0.009060641307467282,0.01201798861898995,-0.062482532559859236,-0.06695175960406201,0.03356485991893486,-0.08098957466947658,,-0.12821477748917323,0.16129710548520407,0.009554407593506136,-0.048096561583467,0.0062705170970533955,-0.04949637641887303,0.004224539509418945,0.09757105422355392,-0.006439203099722226,-0.019057699394862328
L12,0.013485824257552775,0.009934343390248505,0.012915777140916145,0.03655712217689642,0.052184744315205,0.008921572566510019,-0.10203716359061495,0.05562341191136289,-0.11450305717590248,0.01129193255961777,-0.12821477748917323,,-0.06356433035559975,0.043554073617293354,-0.003933901424778191,-0.0009729094734976787,-0.0036205756353838345,0.36075969251959256,-0.002896431460555332,-0.006710185234533575,-0.029437827617529003
L13,0.0027750264038882565,0.001879655586421395,-0.011565943418689462,-0.06778117502554518,-0.07412211132844496,-0.03505797349906909,0.0015991965835069643,-0.03307969044981665,-0.0023586306571519726,0.0027996369729951036,0.1612971054852041,-0.06356433035559975,,-0.10994555487731002,0.14656067799537437,-0.012845468280690442,0.07796420245205025,-0.08198722457373857,-0.037117450541648014,-0.06960636829188634,0.033134574160964866
L14,0.00010626460849247507,4.4219941002948094e-05,-0.019960329923533665,0.00023740945256083758,-0.033951526156337286,0.04169326429560542,-0.02639020686411241,-0.04782735952504006,-0.07072832327218143,-0.026862416171830324,0.009554407593506136,0.04355407361729335,-0.10994555487731002,,-0.0507698356132227,0.08898568013833394,-0.12395919249895238,-0.15764527015140378,-0.021124056360718502,-0.04275652996130708,0.07364917371308553
L15,-0.002237857751359249,-0.0019154350378521399,-0.0446965478492017,-0.0026912679099811983,-0.04798600835495211,-0.015860383224614975,-0.09390735768875864,0.06037120873809682,0.006086545531308269,-0.05603755692440961,-0.048096561583467,-0.00393390142477819,0.1465606779953744,-0.0507698356132227,,-0.09702180275140679,0.1638799282393464,-0.036081545295732084,-0.029692380777668354,-0.0878376637549256,0.09803210375781297
L16,-0.001770546339237771,-0.0013070883271163786,-0.04125542155572936,-0.0021340538060920225,0.030231079533445216,0.0641753290598463,0.005713814368986834,-0.00883427179009072,-0.052487450253200535,-0.08639684682965398,0.0062705170970533955,-0.0009729094734976787,-0.01284546828069044,0.08898568013833394,-0.09702180275140679,,-0.21845098435610594,-0.2943903267912254,-0.025557781158375363,0.29397300973962176,-0.10503737981048969
L17,-0.00418874162504659,-0.0032482857734413445,0.03260244434124841,-0.005130154602703016,-0.0018113693578359466,-0.03717857393983771,0.08943595764699586,-0.04164133075126563,0.021631007942146317,0.019261361997665725,-0.049496376418873035,-0.003620575635383835,0.07796420245205025,-0.12395919249895238,0.1638799282393464,-0.21845098435610594,,0.07138917813024483,0.11849963289608427,-0.17148240133298998,0.036748349432423125
L18,-0.003561606119899276,-0.0026316716528300772,0.010876600440658272,-0.004296500673946739,-0.004787216841114678,-0.0682512049189005,0.0031066652131442004,0.13416570104512446,0.008158587733782462,0.11096179766064117,0.004224539509418946,0.3607596925195925,-0.08198722457373857,-0.15764527015140375,-0.036081545295732084,-0.2943903267912254,0.07138917813024484,,0.036451081705826546,-0.03300697210915205,-0.08076775102732481
L19,-0.0037937241629047674,-0.002797940440199774,-0.0030687810524424076,-0.004573319880618525,-0.005473809327826528,-0.007282427956733787,0.050579569296867084,-0.05561832501332966,0.07821977716910379,-0.0006339706033172743,0.0975710542235539,-0.002896431460555332,-0.037117450541648014,-0.021124056360718506,-0.029692380777668354,-0.025557781158375363,0.11849963289608428,0.036451081705826546,,-0.08304880526832145,-0.21658809037360768
L20,-0.00576825364347838,-0.0042542968797929254,-0.004721767670747186,-0.0069535927484268775,-0.008322858615845108,-0.011563913043497144,-0.005730879113395883,0.07923367112249395,0.0010107087091948024,0.10671231502176054,-0.006439203099722226,-0.006710185234533575,-0.06960636829188634,-0.04275652996130708,-0.0878376637549256,0.29397300973962176,-0.17148240133298998,-0.03300697210915205,-0.08304880526832145,,-0.2520846085362788
L21,-0.00940219917093646,-0.006940506419627014,-0.00774196197540231,-0.011338127654016511,-0.013566175307210373,0.03304235967715218,0.02636956197969998,-0.011987605774947953,-0.004073644018203508,-0.016537355912039895,-0.019057699394862328,-0.029437827617529003,0.033134574160964866,0.07364917371308553,0.09803210375781297,-0.10503737981048969,0.03674834943242312,-0.08076775102732481,-0.21658809037360768,-0.2520846085362788,
